id,normalized_name,category_code,founded_at,country_code
c:10158,studionow,photo_video,2007-01-01,USA
c:10159,brand,advertising,2007-01-01,USA
c:10160,elagaan,web,2008-02-01,IND
c:10161,cartera commerce,advertising,2005-01-01,USA
c:101622,vtronics techltd,hardware,2005-03-01,CHN
c:10163,mse360,search,2008-08-20,GBR
c:10164,burt,advertising,2009-03-01,SWE
c:101651,altiria,mobile,2002-01-01,ESP
c:10166,acxiom,software,1969-01-01,USA
c:10167,papervitamins,web,2008-05-01,USA
c:1017,earthmine,enterprise,2006-07-01,USA
c:101727,coderobotics studio,software,2010-01-01,IND
c:10174,tesaris,software,2006-11-01,USA
c:10175,my best interest,software,2006-11-05,USA
c:101759,transmit,software,2009-06-01,ISL
c:10176,yammer,enterprise,2008-09-10,USA
c:101779,cultstory,software,2009-09-28,KOR
c:10178,cropmom,software,2008-07-12,USA
c:10179,goodguide,web,2007-12-01,USA
c:101797,vehom,advertising,2011-07-26,TUR
c:1018,catch the best,web,2007-10-01,USA
c:10180,goplanit,web,2007-08-01,USA
c:101810,adveler advertising,advertising,2011-09-01,USA
c:10183,marvia,public_relations,2007-11-06,NLD
c:101830,emagcreator,software,2006-01-01,DNK
c:101837,conjecta,finance,2011-03-01,USA
c:101846,resume desk,web,2009-03-15,USA
c:101851,prototek manufacturing,other,1987-01-01,USA
c:10187,livinglink,other,1971-06-27,PAK
c:10188,360 sports software,games_video,2007-01-01,USA
c:101882,transpara,software,2005-11-01,USA
c:101893,c2fo,software,2008-02-01,USA
c:1019,fon,mobile,2006-02-06,ESP
c:101903,trendland,web,2006-12-05,USA
c:10191,api outsourcing,other,1998-01-01,USA
c:10192,draconis software,web,2003-08-01,USA
c:10193,netklix,advertising,2006-01-27,GBR
c:101936,tatvasoft uk,software,2001-08-08,GBR
c:101938,guyskeepscore,other,2011-07-25,USA
c:10194,bragthis,games_video,2008-06-23,USA
c:101944,onelouder,mobile,2011-07-21,USA
c:101947,klowd,web,2011-08-01,USA
c:101955,paranet,consulting,1991-01-01,USA
c:10196,kangalope,advertising,2008-01-01,USA
c:10197,postpath,web,2003-01-01,USA
c:101973,benovative,games_video,2011-07-21,HUN
c:10199,where ive been,travel,2007-06-08,USA
c:1020,jibjab,web,1999-01-01,USA
c:10200,swype,software,2002-01-01,USA
c:102006,hushvine,web,2011-09-01,IRL
c:10202,alfabetic,advertising,2007-02-01,ISR
c:10203,clickbooth,other,2002-09-28,USA
c:102057,dashthis,ecommerce,2011-05-01,CAN
c:102068,intopic media,advertising,2008-07-21,USA
c:102082,fizziology,other,2009-10-01,USA
c:10209,multiplied media,other,2002-02-01,CAN
c:102098,alpha software,software,2000-01-01,USA
c:1021,mixaloo,games_video,2007-02-01,USA
c:102110,ipe engenharia de redes,network_hosting,2010-01-01,BRA
c:10214,procpr,health,2002-10-01,USA
c:102156,district lines,ecommerce,2007-01-16,USA
c:10216,twittad,web,2008-07-01,USA
c:10218,reviewschools,web,2007-01-01,USA
c:102184,otreva designs,web,2009-10-01,USA
c:102185,warren creative web graphic design,software,2009-01-01,GBR
c:102188,ecreative pl,software,2005-05-11,POL
c:102196,approvee,web,2011-01-01,USA
c:1022,zipidee,ecommerce,2007-02-01,USA
c:10220,marktformfoerderland de,web,2004-09-15,NLD
c:102204,free dentist finder,consulting,2008-06-10,USA
c:10221,redphlag,consulting,2008-01-01,USA
c:10224,speakermatch,web,2002-09-01,USA
c:10226,quant the news,web,2007-01-01,USA
c:10227,mulodo,web,2007-04-03,JPN
c:10228,magis networks,semiconductor,1999-01-01,USA
c:102295,proxomo software,mobile,2010-04-01,USA
c:102311,workware systems,software,2009-09-30,USA
c:10232,unilever,other,1930-01-01,PAK
c:10238,i cd publishing,\N,1997-01-01,GBR
c:102396,introfly,web,2011-06-01,USA
c:1024,zslide,web,2000-12-13,FRA
c:10241,global crossing,public_relations,1997-01-01,USA
c:102413,gopogo,social,2009-11-17,USA
c:102425,vgo communications,medical,2007-01-01,USA
c:10243,future delivery,web,2007-07-07,USA
c:10244,911ice,web,2008-04-15,USA
c:102447,platfora,software,2011-06-01,USA
c:10246,18d information technology china,games_video,2007-05-01,CHN
c:102468,steelwedge software,enterprise,2000-01-01,USA
c:10247,international drug mart,other,2003-01-01,GRC
c:10249,advanced millennium technologies,software,2002-03-04,IND
c:102497,worldone,analytics,2000-01-01,USA
c:1025,livechat software,ecommerce,2002-01-01,POL
c:10251,interknowlogy,software,1999-01-01,USA
c:10252,mob ly,mobile,2007-10-01,USA
c:102527,ilovedeals,web,2011-05-20,SGP
c:10253,iweb technologies,network_hosting,1996-10-01,CAN
c:10255,instituto polit??cnico de leiria,other,1980-01-01,PRT
c:102554,icloudhosting,network_hosting,2003-07-18,GBR
c:10256,timetrade systems,enterprise,2000-01-01,USA
c:102577,omg,hardware,1984-01-01,GBR
c:1026,locogopher,web,2007-06-01,USA
c:102604,caraquri,software,2010-12-01,JPN
c:102625,inside out digital marketing,search,2010-06-29,GBR
c:10263,fmyi,software,2004-01-28,USA
c:102639,prima development group,software,2001-01-01,GBR
c:10264,google japan,search,2001-08-01,JPN
c:102652,y5media,cleantech,2011-01-01,IND
c:102666,bargania,ecommerce,2011-08-09,PRT
c:102679,translation services 24,public_relations,2010-03-01,GBR
c:102682,awem,games_video,2002-01-04,BLR
c:10269,nifty,web,1986-01-01,JPN
c:10270,siterapture,network_hosting,2007-01-01,USA
c:102700,patmade patentanwalt kuehnel,legal,2005-01-01,DEU
c:10271,viscape,other,2008-06-01,USA
c:102711,herewedate,web,2011-01-02,FRA
c:10272,truecar,transportation,2005-01-01,USA
c:10273,angstro,software,2007-04-27,USA
c:10274,incspring,public_relations,2008-03-01,USA
c:10275,topnotchthemes,ecommerce,2008-03-01,USA
c:10276,knowledge mgmt solutions,web,1999-10-31,USA
c:102767,abc signup,software,2002-09-02,USA
c:102774,shop ca,ecommerce,2011-07-01,CAN
c:102783,text a cab,transportation,2008-06-01,USA
c:1028,buymytronics,hardware,2007-01-01,USA
c:102804,wohoapp,other,2011-09-09,CSS
c:102836,thru,software,2002-02-01,USA
c:10285,thistle products,other,1981-01-01,GBR
c:102850,golf galaxy,\N,1997-01-01,USA
c:102851,smittys dot golf,ecommerce,1987-01-01,USA
c:10286,turisticka komora na makedonija tkm,search,2008-02-16,MKD
c:102867,wehostels,travel,2011-11-15,USA
c:10287,edigma,web,2000-09-01,PRT
c:10289,displax,software,2004-01-01,PRT
c:102898,tasted menu,hospitality,2009-01-01,USA
c:10290,edigmahealthcare,web,2007-01-01,PRT
c:102908,short term housing,other,2008-06-01,USA
