,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
629,c:941,a,1700000,1,1,0,0,0,0,0,0,0,0,212
16773,c:141128,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
6134,c:20744,b,3000000,1,0,0,1,0,0,0,0,0,0,212
6128,c:20312,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
15281,c:81982,a,13600000,15,1,0,0,0,0,0,0,0,0,212
23476,c:195473,seed,866032.61638225255973,5,0,0,0,0,0,0,0,0,1,212
28550,c:170348,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
1070,c:1607,angel,750000,2,0,1,0,0,0,0,0,0,0,212
13038,c:53263,angel,832099.38937198067634,2,0,1,0,0,0,0,0,0,0,212
15534,c:83973,a,750000,2,1,0,0,0,0,0,0,0,0,212
23511,c:200138,angel,1000000,0,0,1,0,0,0,0,0,0,0,212
23563,c:201233,angel,250000,1,0,1,0,0,0,0,0,0,0,212
384,c:535,b,4500000,1,0,0,1,0,0,0,0,0,0,212
15323,c:82385,seed,866032.61638225255973,2,0,0,0,0,0,0,0,0,1,212
30219,c:274467,angel,30000,1,0,1,0,0,0,0,0,0,0,212
3195,c:12830,seed,300000,0,0,0,0,0,0,0,0,0,1,212
30212,c:80585,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
19424,c:50546,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
600,c:904,angel,200000,1,0,1,0,0,0,0,0,0,0,212
34,c:44,b,26000000,1,0,0,1,0,0,0,0,0,0,212
24764,c:223549,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
6823,c:33847,seed,350000,0,0,0,0,0,0,0,0,0,1,212
29242,c:232643,seed,866032.61638225255973,5,0,0,0,0,0,0,0,0,1,212
16605,c:42477,a,1500000,0,1,0,0,0,0,0,0,0,0,212
1208,c:1762,a,10500000,5,1,0,0,0,0,0,0,0,0,212
827,c:1287,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,212
11874,c:29587,a,1700000,3,1,0,0,0,0,0,0,0,0,212
23995,c:185922,angel,20000,1,0,1,0,0,0,0,0,0,0,212
17342,c:42844,angel,180000,0,0,1,0,0,0,0,0,0,0,212
6321,c:30683,angel,600000,0,0,1,0,0,0,0,0,0,0,212
15530,c:83971,a,7900000,5,1,0,0,0,0,0,0,0,0,212
30995,c:187555,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,212
18741,c:158489,seed,1950000,2,0,0,0,0,0,0,0,0,1,213
11020,c:52026,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,213
30243,c:85739,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
18908,c:159841,seed,12000,1,0,0,0,0,0,0,0,0,1,213
21033,c:159729,seed,29573,1,0,0,0,0,0,0,0,0,1,213
23620,c:162838,seed,70000,4,0,0,0,0,0,0,0,0,1,213
15284,c:67432,seed,600000,8,0,0,0,0,0,0,0,0,1,213
17878,c:149809,seed,100000,1,0,0,0,0,0,0,0,0,1,213
20782,c:174479,angel,78083,1,0,1,0,0,0,0,0,0,0,213
24288,c:178256,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
24284,c:175948,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
24283,c:167336,seed,100000,1,0,0,0,0,0,0,0,0,1,213
21025,c:175237,seed,50000,1,0,0,0,0,0,0,0,0,1,213
17781,c:46586,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
30184,c:701,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
22250,c:187245,seed,500000,0,0,0,0,0,0,0,0,0,1,213
24450,c:173723,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
30205,c:274403,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
31059,c:280460,angel,300000,0,0,1,0,0,0,0,0,0,0,213
30238,c:65826,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
19189,c:130587,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
19881,c:156238,angel,832099.38937198067634,2,0,1,0,0,0,0,0,0,0,213
30909,c:189418,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,213
30249,c:214339,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
18649,c:157617,seed,15000,1,0,0,0,0,0,0,0,0,1,213
21952,c:184855,seed,250000,2,0,0,0,0,0,0,0,0,1,213
20286,c:168450,seed,15000,1,0,0,0,0,0,0,0,0,1,213
1,c:5,angel,500000,2,0,1,0,0,0,0,0,0,0,213
24017,c:211860,seed,55500,1,0,0,0,0,0,0,0,0,1,213
20355,c:171042,seed,25000,1,0,0,0,0,0,0,0,0,1,213
20353,c:171039,seed,25000,1,0,0,0,0,0,0,0,0,1,213
3127,c:12224,angel,400000,0,0,1,0,0,0,0,0,0,0,213
15105,c:80675,seed,750000,2,0,0,0,0,0,0,0,0,1,213
23065,c:193337,angel,250000,0,0,1,0,0,0,0,0,0,0,213
20502,c:172022,seed,25000,0,0,0,0,0,0,0,0,0,1,213
26114,c:171257,angel,832099.38937198067634,3,0,1,0,0,0,0,0,0,0,213
11180,c:46586,seed,1000000,16,0,0,0,0,0,0,0,0,1,213
4821,c:9822,seed,15000,1,0,0,0,0,0,0,0,0,1,213
22497,c:189138,seed,1100000,1,0,0,0,0,0,0,0,0,1,213
28334,c:263024,seed,150000,0,0,0,0,0,0,0,0,0,1,213
13702,c:23912,angel,700000,1,0,1,0,0,0,0,0,0,0,213
24243,c:188422,seed,1120000,4,0,0,0,0,0,0,0,0,1,213
30276,c:168036,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
20929,c:175948,seed,100000,1,0,0,0,0,0,0,0,0,1,213
73,c:62,b,18800000,2,0,0,1,0,0,0,0,0,0,213
23090,c:175964,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,213
17492,c:147820,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,213
30275,c:168424,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
24282,c:176234,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
14574,c:76589,angel,500000,1,0,1,0,0,0,0,0,0,0,213
21767,c:159078,seed,300000,0,0,0,0,0,0,0,0,0,1,213
8466,c:42826,angel,731050,0,0,1,0,0,0,0,0,0,0,213
3311,c:13662,seed,1000000,3,0,0,0,0,0,0,0,0,1,213
30259,c:23202,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,213
20280,c:170490,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,213
14524,c:35911,angel,150000,0,0,1,0,0,0,0,0,0,0,213
2696,c:9276,seed,1000000,4,0,0,0,0,0,0,0,0,1,213
22296,c:184667,seed,500000,0,0,0,0,0,0,0,0,0,1,214
21573,c:181645,seed,45000,1,0,0,0,0,0,0,0,0,1,214
26649,c:149254,seed,615000,7,0,0,0,0,0,0,0,0,1,214
49,c:1896,a,900000,1,1,0,0,0,0,0,0,0,0,214
11311,c:20398,a,7640000,2,1,0,0,0,0,0,0,0,0,214
12957,c:62836,angel,850000,0,0,1,0,0,0,0,0,0,0,214
28973,c:179640,seed,235000,6,0,0,0,0,0,0,0,0,1,214
2596,c:1488,a,2000000,0,1,0,0,0,0,0,0,0,0,214
1956,c:5054,a,2000000,4,1,0,0,0,0,0,0,0,0,214
23088,c:193470,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,214
22391,c:159095,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,214
5557,c:25991,seed,350000,1,0,0,0,0,0,0,0,0,1,214
22713,c:189723,seed,1106990,4,0,0,0,0,0,0,0,0,1,214
18457,c:86407,seed,1125000,5,0,0,0,0,0,0,0,0,1,214
23888,c:471,a,1000000,1,1,0,0,0,0,0,0,0,0,214
29466,c:265302,angel,500000,0,0,1,0,0,0,0,0,0,0,214
5,c:9,a,1500000,1,1,0,0,0,0,0,0,0,0,214
26788,c:187281,a,3201789,0,1,0,0,0,0,0,0,0,0,214
30535,c:197128,seed,200000,0,0,0,0,0,0,0,0,0,1,214
3295,c:13512,a,3000000,2,1,0,0,0,0,0,0,0,0,214
19064,c:78701,a,3759387,12,1,0,0,0,0,0,0,0,0,214
20553,c:172494,seed,74500,0,0,0,0,0,0,0,0,0,1,214
29681,c:171997,a,1000000,1,1,0,0,0,0,0,0,0,0,214
1502,c:81,angel,832099.38937198067634,2,0,1,0,0,0,0,0,0,0,214
21689,c:182806,angel,50000,1,0,1,0,0,0,0,0,0,0,214
16938,c:144026,angel,900000,2,0,1,0,0,0,0,0,0,0,214
16717,c:140494,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,214
160,c:187,a,3500000,2,1,0,0,0,0,0,0,0,0,214
30187,c:10750,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,214
18118,c:151220,seed,118000,1,0,0,0,0,0,0,0,0,1,214
7493,c:30989,a,2069000,1,1,0,0,0,0,0,0,0,0,214
7184,c:36089,angel,2000000,1,0,1,0,0,0,0,0,0,0,214
3262,c:13199,angel,52976,0,0,1,0,0,0,0,0,0,0,214
19240,c:157944,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,214
19833,c:166772,a,2600000,2,1,0,0,0,0,0,0,0,0,214
22553,c:189643,seed,330000,0,0,0,0,0,0,0,0,0,1,214
22607,c:182069,angel,700000,3,0,1,0,0,0,0,0,0,0,214
23618,c:202821,angel,527500,0,0,1,0,0,0,0,0,0,0,214
6044,c:28720,a,1550000,5,1,0,0,0,0,0,0,0,0,214
691,c:363,a,300000,8,1,0,0,0,0,0,0,0,0,214
10962,c:27433,a,2500000,2,1,0,0,0,0,0,0,0,0,214
1657,c:3301,seed,150000,0,0,0,0,0,0,0,0,0,1,214
23391,c:196272,seed,129750,2,0,0,0,0,0,0,0,0,1,214
3589,c:7493,angel,725000,11,0,1,0,0,0,0,0,0,0,214
18309,c:154850,seed,30000,0,0,0,0,0,0,0,0,0,1,214
25744,c:186483,seed,20000,1,0,0,0,0,0,0,0,0,1,215
13282,c:65783,angel,250000,0,0,1,0,0,0,0,0,0,0,215
31809,c:190793,angel,150000,0,0,1,0,0,0,0,0,0,0,215
6704,c:2193,a,1200000,0,1,0,0,0,0,0,0,0,0,215
6703,c:2193,seed,150000,0,0,0,0,0,0,0,0,0,1,215
17034,c:85155,angel,1500000,13,0,1,0,0,0,0,0,0,0,215
19852,c:163625,seed,1100000,3,0,0,0,0,0,0,0,0,1,215
6038,c:28654,angel,297780,1,0,1,0,0,0,0,0,0,0,215
19851,c:166994,a,16000000,3,1,0,0,0,0,0,0,0,0,215
26488,c:240583,angel,75763,3,0,1,0,0,0,0,0,0,0,215
11212,c:37940,b,6000000,3,0,0,1,0,0,0,0,0,0,215
152,c:181,a,10000000,1,1,0,0,0,0,0,0,0,0,215
15469,c:83510,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,215
14056,c:72270,a,3350000,11,1,0,0,0,0,0,0,0,0,215
7569,c:18192,a,1300000,0,1,0,0,0,0,0,0,0,0,215
24652,c:221913,seed,1500000,0,0,0,0,0,0,0,0,0,1,216
26141,c:238206,seed,19299,1,0,0,0,0,0,0,0,0,1,216
31319,c:268961,seed,19299,1,0,0,0,0,0,0,0,0,1,216
28640,c:176044,seed,20000,1,0,0,0,0,0,0,0,0,1,216
16561,c:82751,seed,25000,1,0,0,0,0,0,0,0,0,1,216
6090,c:16757,angel,75000,0,0,1,0,0,0,0,0,0,0,216
27936,c:257103,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,216
28569,c:264741,a,2000000,0,1,0,0,0,0,0,0,0,0,216
15042,c:72426,seed,800000,3,0,0,0,0,0,0,0,0,1,216
7381,c:37158,seed,200000,2,0,0,0,0,0,0,0,0,1,216
19298,c:162594,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,216
31327,c:235645,seed,19299,1,0,0,0,0,0,0,0,0,1,216
20674,c:173420,seed,1500000,6,0,0,0,0,0,0,0,0,1,217
21420,c:162617,a,900000,3,1,0,0,0,0,0,0,0,0,217
25223,c:230455,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,217
29464,c:269612,seed,650000,0,0,0,0,0,0,0,0,0,1,217
10863,c:37046,a,800000,8,1,0,0,0,0,0,0,0,0,217
19148,c:145260,seed,350000,0,0,0,0,0,0,0,0,0,1,217
25781,c:235725,seed,100000,1,0,0,0,0,0,0,0,0,1,217
15870,c:90408,a,1500000,1,1,0,0,0,0,0,0,0,0,217
14162,c:59772,a,3000000,1,1,0,0,0,0,0,0,0,0,217
14893,c:78861,seed,300000,2,0,0,0,0,0,0,0,0,1,217
10203,c:48086,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,217
21154,c:160427,seed,55000,0,0,0,0,0,0,0,0,0,1,217
12956,c:62826,angel,72360,3,0,1,0,0,0,0,0,0,0,217
13779,c:70177,a,6852075.901187812016,0,1,0,0,0,0,0,0,0,0,217
19231,c:162066,a,900000,3,1,0,0,0,0,0,0,0,0,217
20289,c:148367,seed,500000,2,0,0,0,0,0,0,0,0,1,217
13883,c:68153,a,1630000,13,1,0,0,0,0,0,0,0,0,217
11266,c:53679,seed,550000,5,0,0,0,0,0,0,0,0,1,217
27048,c:245558,seed,650000,0,0,0,0,0,0,0,0,0,1,217
22404,c:157370,seed,15000,0,0,0,0,0,0,0,0,0,1,218
20503,c:172023,seed,25000,1,0,0,0,0,0,0,0,0,1,218
317,c:203,seed,200000,2,0,0,0,0,0,0,0,0,1,218
5167,c:24604,a,4000000,0,1,0,0,0,0,0,0,0,0,218
20477,c:171862,seed,170000,0,0,0,0,0,0,0,0,0,1,218
22145,c:179677,seed,1630000,6,0,0,0,0,0,0,0,0,1,219
21958,c:184941,seed,330000,0,0,0,0,0,0,0,0,0,1,219
3120,c:12173,a,3500000,1,1,0,0,0,0,0,0,0,0,219
10920,c:51577,seed,750000,1,0,0,0,0,0,0,0,0,1,219
24716,c:222520,seed,600000,1,0,0,0,0,0,0,0,0,1,219
27214,c:246089,seed,80000,0,0,0,0,0,0,0,0,0,1,219
27093,c:230768,seed,2500000,3,0,0,0,0,0,0,0,0,1,219
27112,c:245997,seed,437000,0,0,0,0,0,0,0,0,0,1,219
21036,c:165114,angel,1060000,4,0,1,0,0,0,0,0,0,0,219
20754,c:148707,seed,1375000,7,0,0,0,0,0,0,0,0,1,219
20247,c:163030,seed,716325,1,0,0,0,0,0,0,0,0,1,220
5191,c:19435,seed,1500000,3,0,0,0,0,0,0,0,0,1,220
2723,c:9436,a,9400000,2,1,0,0,0,0,0,0,0,0,220
15818,c:61957,angel,170000,0,0,1,0,0,0,0,0,0,0,220
16997,c:79336,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,220
19455,c:58531,angel,300000,4,0,1,0,0,0,0,0,0,0,220
28257,c:262024,seed,50000,0,0,0,0,0,0,0,0,0,1,220
16807,c:142744,seed,800000,0,0,0,0,0,0,0,0,0,1,220
15939,c:64284,seed,900000,9,0,0,0,0,0,0,0,0,1,220
17,c:23,a,45000000,3,1,0,0,0,0,0,0,0,0,220
10210,c:48128,angel,1500000,0,0,1,0,0,0,0,0,0,0,220
21742,c:146428,seed,1400000,4,0,0,0,0,0,0,0,0,1,220
4115,c:18176,angel,1200000,1,0,1,0,0,0,0,0,0,0,220
6148,c:29678,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,221
1267,c:1833,a,3000000,3,1,0,0,0,0,0,0,0,0,221
12092,c:25347,a,8000000,3,1,0,0,0,0,0,0,0,0,221
11374,c:54059,a,5000000,2,1,0,0,0,0,0,0,0,0,221
29699,c:271160,seed,17408,0,0,0,0,0,0,0,0,0,1,221
16347,c:57523,seed,1500000,3,0,0,0,0,0,0,0,0,1,221
21783,c:183423,seed,150000,1,0,0,0,0,0,0,0,0,1,222
22838,c:146374,seed,866032.61638225255973,3,0,0,0,0,0,0,0,0,1,222
6024,c:28524,angel,164864,1,0,1,0,0,0,0,0,0,0,222
10791,c:50815,a,8400000,3,1,0,0,0,0,0,0,0,0,222
19941,c:167734,seed,750000,1,0,0,0,0,0,0,0,0,1,222
31788,c:285119,seed,290000,2,0,0,0,0,0,0,0,0,1,222
29706,c:230639,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,222
25211,c:140824,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,223
29663,c:83283,seed,1300000,0,0,0,0,0,0,0,0,0,1,223
19112,c:152716,a,3000000,1,1,0,0,0,0,0,0,0,0,223
27244,c:190364,a,6000000,2,1,0,0,0,0,0,0,0,0,223
15765,c:85758,seed,1740000,2,0,0,0,0,0,0,0,0,1,223
14212,c:57670,seed,350000,2,0,0,0,0,0,0,0,0,1,223
19472,c:163802,seed,15000,1,0,0,0,0,0,0,0,0,1,223
30691,c:161301,seed,40000,1,0,0,0,0,0,0,0,0,1,224
2311,c:5487,b,4100000,2,0,0,1,0,0,0,0,0,0,224
6150,c:29680,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,224
4681,c:18021,a,2500000,2,1,0,0,0,0,0,0,0,0,224
17020,c:144660,b,4000000,1,0,0,1,0,0,0,0,0,0,224
6146,c:29673,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,224
11725,c:56256,a,1000000,1,1,0,0,0,0,0,0,0,0,224
6153,c:29684,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,224
22355,c:186019,seed,61948,4,0,0,0,0,0,0,0,0,1,224
27754,c:204054,seed,25000,0,0,0,0,0,0,0,0,0,1,224
6152,c:29683,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,224
2123,c:5776,a,6852075.901187812016,2,1,0,0,0,0,0,0,0,0,224
15855,c:68939,seed,255828,1,0,0,0,0,0,0,0,0,1,224
21715,c:182943,a,6852075.901187812016,2,1,0,0,0,0,0,0,0,0,225
12323,c:59024,a,4500000,5,1,0,0,0,0,0,0,0,0,225
9105,c:37756,a,5000000,3,1,0,0,0,0,0,0,0,0,225
29021,c:169654,seed,500000,4,0,0,0,0,0,0,0,0,1,225
31796,c:236299,seed,30000,0,0,0,0,0,0,0,0,0,1,225
21629,c:182261,seed,130000,0,0,0,0,0,0,0,0,0,1,225
31950,c:286183,seed,225000,3,0,0,0,0,0,0,0,0,1,225
16534,c:140648,seed,136270,0,0,0,0,0,0,0,0,0,1,225
15738,c:75604,a,1500000,0,1,0,0,0,0,0,0,0,0,226
24548,c:220564,seed,600000,2,0,0,0,0,0,0,0,0,1,226
19365,c:162884,a,1200000,0,1,0,0,0,0,0,0,0,0,226
1726,c:3178,a,2600000,1,1,0,0,0,0,0,0,0,0,226
19,c:27,b,8500000,3,0,0,1,0,0,0,0,0,0,226
4850,c:17049,a,1200000,0,1,0,0,0,0,0,0,0,0,226
29659,c:270853,seed,2050000,0,0,0,0,0,0,0,0,0,1,226
9259,c:37291,seed,580000,0,0,0,0,0,0,0,0,0,1,226
26258,c:135356,seed,1400000,2,0,0,0,0,0,0,0,0,1,226
15704,c:85256,b,7000000,3,0,0,1,0,0,0,0,0,0,226
15842,c:87211,angel,1000000,0,0,1,0,0,0,0,0,0,0,226
27389,c:186760,seed,500000,4,0,0,0,0,0,0,0,0,1,226
17025,c:1812,a,5026000,3,1,0,0,0,0,0,0,0,0,226
15701,c:75703,b,8000000,2,0,0,1,0,0,0,0,0,0,226
26384,c:240140,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,226
30387,c:161411,a,6852075.901187812016,2,1,0,0,0,0,0,0,0,0,226
9485,c:45697,a,2500000,1,1,0,0,0,0,0,0,0,0,226
2765,c:5508,a,9000000,4,1,0,0,0,0,0,0,0,0,226
21184,c:177770,seed,1000000,1,0,0,0,0,0,0,0,0,1,227
24350,c:202793,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,227
20945,c:174402,seed,1099310,8,0,0,0,0,0,0,0,0,1,227
21140,c:175961,seed,500000,4,0,0,0,0,0,0,0,0,1,227
4182,c:18586,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,227
11955,c:4373,a,1300000,0,1,0,0,0,0,0,0,0,0,227
31291,c:264136,seed,19299,1,0,0,0,0,0,0,0,0,1,227
28258,c:262028,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,227
11450,c:53330,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,227
11457,c:54587,a,16000000,3,1,0,0,0,0,0,0,0,0,227
1383,c:2218,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,227
1983,c:967,b,6500000,5,0,0,1,0,0,0,0,0,0,227
21579,c:159709,seed,600000,1,0,0,0,0,0,0,0,0,1,227
22983,c:192849,seed,866032.61638225255973,7,0,0,0,0,0,0,0,0,1,227
20087,c:152829,seed,1200000,11,0,0,0,0,0,0,0,0,1,227
19225,c:139943,angel,832099.38937198067634,2,0,1,0,0,0,0,0,0,0,227
28215,c:50667,seed,2500000,2,0,0,0,0,0,0,0,0,1,227
22649,c:190337,a,1000000,4,1,0,0,0,0,0,0,0,0,227
11453,c:54545,seed,15000,1,0,0,0,0,0,0,0,0,1,228
23635,c:203972,seed,1300000,3,0,0,0,0,0,0,0,0,1,228
28570,c:264742,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,228
6282,c:30459,a,350000,0,1,0,0,0,0,0,0,0,0,228
1652,c:3298,c,2000000,3,0,0,0,1,0,0,0,0,0,228
11463,c:44261,seed,1000000,2,0,0,0,0,0,0,0,0,1,228
20021,c:166979,seed,10000,1,0,0,0,0,0,0,0,0,1,228
17008,c:144600,a,10000000,1,1,0,0,0,0,0,0,0,0,228
18412,c:72686,angel,1000000,6,0,1,0,0,0,0,0,0,0,228
24598,c:219365,seed,866032.61638225255973,2,0,0,0,0,0,0,0,0,1,228
28452,c:233088,angel,750000,5,0,1,0,0,0,0,0,0,0,229
18345,c:145250,seed,1220000,5,0,0,0,0,0,0,0,0,1,229
12828,c:61470,angel,713205,1,0,1,0,0,0,0,0,0,0,229
22129,c:186293,angel,40000,0,0,1,0,0,0,0,0,0,0,229
28730,c:208925,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,229
12474,c:54757,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,229
23679,c:206342,seed,400000,0,0,0,0,0,0,0,0,0,1,230
1938,c:4938,seed,293411,1,0,0,0,0,0,0,0,0,1,230
22987,c:192938,seed,100000,1,0,0,0,0,0,0,0,0,1,230
11475,c:54742,a,3000000,1,1,0,0,0,0,0,0,0,0,230
16730,c:35331,b,4200000,3,0,0,1,0,0,0,0,0,0,230
1350,c:1952,angel,900000,4,0,1,0,0,0,0,0,0,0,230
13650,c:51379,a,2520000,8,1,0,0,0,0,0,0,0,0,230
17352,c:147263,seed,350000,1,0,0,0,0,0,0,0,0,1,231
16447,c:139694,seed,500000,1,0,0,0,0,0,0,0,0,1,231
29945,c:272645,seed,1000000,2,0,0,0,0,0,0,0,0,1,231
28233,c:261855,seed,38484,1,0,0,0,0,0,0,0,0,1,231
16019,c:80585,seed,866032.61638225255973,11,0,0,0,0,0,0,0,0,1,231
16102,c:106396,a,3500000,4,1,0,0,0,0,0,0,0,0,231
22943,c:191069,seed,800000,6,0,0,0,0,0,0,0,0,1,231
5925,c:28034,a,5000000,2,1,0,0,0,0,0,0,0,0,232
26218,c:238591,seed,866032.61638225255973,3,0,0,0,0,0,0,0,0,1,232
22243,c:180250,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,232
20144,c:162232,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,232
8000,c:40873,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,232
19843,c:166915,seed,3453954,2,0,0,0,0,0,0,0,0,1,232
20049,c:168703,seed,2000000,2,0,0,0,0,0,0,0,0,1,232
5043,c:12272,b,6000000,2,0,0,1,0,0,0,0,0,0,232
27311,c:247616,a,6852075.901187812016,1,1,0,0,0,0,0,0,0,0,232
27219,c:145260,seed,350000,0,0,0,0,0,0,0,0,0,1,232
26717,c:211308,seed,17500,0,0,0,0,0,0,0,0,0,1,232
27654,c:256988,seed,300000,0,0,0,0,0,0,0,0,0,1,232
27626,c:256850,seed,2000000,1,0,0,0,0,0,0,0,0,1,232
6871,c:29904,angel,1000000,11,0,1,0,0,0,0,0,0,0,232
24108,c:184075,seed,600000,3,0,0,0,0,0,0,0,0,1,232
14045,c:72282,angel,225000,0,0,1,0,0,0,0,0,0,0,232
27620,c:238874,seed,135952,0,0,0,0,0,0,0,0,0,1,232
10412,c:30152,b,5000000,2,0,0,1,0,0,0,0,0,0,232
21092,c:54853,b,523066,0,0,0,1,0,0,0,0,0,0,233
30488,c:276008,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,233
25560,c:173517,seed,300000,0,0,0,0,0,0,0,0,0,1,233
15762,c:85757,a,1800000,1,1,0,0,0,0,0,0,0,0,233
22289,c:184256,a,2000000,2,1,0,0,0,0,0,0,0,0,233
14492,c:49951,seed,18000,1,0,0,0,0,0,0,0,0,1,233
29446,c:269527,seed,999999,0,0,0,0,0,0,0,0,0,1,233
15975,c:67872,seed,730000,7,0,0,0,0,0,0,0,0,1,233
21549,c:181382,seed,70000,1,0,0,0,0,0,0,0,0,1,233
14252,c:58084,seed,71271,4,0,0,0,0,0,0,0,0,1,233
29453,c:249473,a,156700,0,1,0,0,0,0,0,0,0,0,233
27690,c:189223,seed,1600000,5,0,0,0,0,0,0,0,0,1,233
28468,c:263772,angel,135000,0,0,1,0,0,0,0,0,0,0,233
31310,c:69941,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,233
5531,c:25902,seed,2300000,0,0,0,0,0,0,0,0,0,1,233
29431,c:269468,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,233
25565,c:234058,a,2000000,2,1,0,0,0,0,0,0,0,0,234
29439,c:269499,seed,750000,0,0,0,0,0,0,0,0,0,1,234
26394,c:203158,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,234
31248,c:264867,seed,1250000,4,0,0,0,0,0,0,0,0,1,234
18773,c:157840,seed,1500000,6,0,0,0,0,0,0,0,0,1,234
23028,c:193029,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,234
27394,c:247745,a,5400000,0,1,0,0,0,0,0,0,0,0,234
14655,c:59309,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,234
31477,c:266547,seed,300000,1,0,0,0,0,0,0,0,0,1,234
26020,c:178861,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,234
10990,c:27889,a,3000000,1,1,0,0,0,0,0,0,0,0,234
26484,c:240560,seed,4919,1,0,0,0,0,0,0,0,0,1,234
20077,c:168919,seed,400000,0,0,0,0,0,0,0,0,0,1,234
14001,c:71852,b,28000000,1,0,0,1,0,0,0,0,0,0,234
21574,c:160134,seed,300000,0,0,0,0,0,0,0,0,0,1,235
26622,c:63422,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,235
30096,c:187429,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,235
25569,c:234078,seed,200000,0,0,0,0,0,0,0,0,0,1,235
11759,c:44308,a,800000,1,1,0,0,0,0,0,0,0,0,235
29445,c:269522,seed,685000,0,0,0,0,0,0,0,0,0,1,235
17641,c:149192,angel,450000,3,0,1,0,0,0,0,0,0,0,235
15506,c:65203,seed,1098900,5,0,0,0,0,0,0,0,0,1,235
26819,c:194047,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,235
22460,c:162687,seed,500000,4,0,0,0,0,0,0,0,0,1,235
