,object_id,funding_round_code,raised_amount_usd,participants,a,angel,b,c,d,e,f,g,seed,time_since_founded
13407,c:65718,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
13728,c:69710,seed,129030,0,0,0,0,0,0,0,0,0,1,0
13733,c:69790,angel,700000,0,0,1,0,0,0,0,0,0,0,0
3590,c:15669,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
3591,c:15671,angel,100000,0,0,1,0,0,0,0,0,0,0,0
29164,c:268100,seed,100000,0,0,0,0,0,0,0,0,0,1,0
29163,c:268099,seed,100000,0,0,0,0,0,0,0,0,0,1,0
14063,c:72413,seed,866032.61638225255973,3,0,0,0,0,0,0,0,0,1,0
14052,c:72344,seed,500000,0,0,0,0,0,0,0,0,0,1,0
14046,c:72295,seed,35000,0,0,0,0,0,0,0,0,0,1,0
18912,c:159858,seed,1000000,0,0,0,0,0,0,0,0,0,1,0
29095,c:267584,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
3671,c:16158,seed,15798,0,0,0,0,0,0,0,0,0,1,0
3672,c:16177,seed,866032.61638225255973,0,0,0,0,0,0,0,0,0,1,0
3677,c:16178,a,14439000,0,1,0,0,0,0,0,0,0,0,0
29043,c:267295,seed,30000,1,0,0,0,0,0,0,0,0,1,0
3707,c:16344,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
28994,c:226874,seed,10000,1,0,0,0,0,0,0,0,0,1,0
13963,c:71635,seed,250000,0,0,0,0,0,0,0,0,0,1,0
28981,c:267124,seed,100000,0,0,0,0,0,0,0,0,0,1,0
18879,c:34545,a,600000,4,1,0,0,0,0,0,0,0,0,0
13957,c:71582,seed,250000,0,0,0,0,0,0,0,0,0,1,0
18875,c:159327,seed,1000000,1,0,0,0,0,0,0,0,0,1,0
18851,c:159219,angel,30000,1,0,1,0,0,0,0,0,0,0,0
3491,c:15129,seed,250000,3,0,0,0,0,0,0,0,0,1,0
14191,c:70893,seed,1230000,3,0,0,0,0,0,0,0,0,1,0
3496,c:15199,angel,1000000,0,0,1,0,0,0,0,0,0,0,0
3499,c:15257,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
14181,c:73299,seed,13755,0,0,0,0,0,0,0,0,0,1,0
3510,c:15407,a,1674900,0,1,0,0,0,0,0,0,0,0,0
29260,c:268447,seed,866032.61638225255973,4,0,0,0,0,0,0,0,0,1,0
29246,c:268492,a,2521400,0,1,0,0,0,0,0,0,0,0,0
29243,c:268470,seed,866032.61638225255973,1,0,0,0,0,0,0,0,0,1,0
29237,c:151530,seed,1400000,8,0,0,0,0,0,0,0,0,1,0
3538,c:15463,seed,150000,0,0,0,0,0,0,0,0,0,1,0
14133,c:72914,seed,3000000,4,0,0,0,0,0,0,0,0,1,0
14121,c:72751,seed,30000,1,0,0,0,0,0,0,0,0,1,0
14116,c:71429,angel,120000,1,0,1,0,0,0,0,0,0,0,0
14113,c:72671,seed,30000,1,0,0,0,0,0,0,0,0,1,0
29195,c:268316,seed,40000,1,0,0,0,0,0,0,0,0,1,0
14112,c:72666,angel,1000000,0,0,1,0,0,0,0,0,0,0,0
18853,c:159226,seed,12500,0,0,0,0,0,0,0,0,0,1,0
13955,c:71557,angel,1600000,0,0,1,0,0,0,0,0,0,0,0
13948,c:71508,seed,50150,0,0,0,0,0,0,0,0,0,1,0
3755,c:16651,seed,1770588,2,0,0,0,0,0,0,0,0,1,0
13836,c:70692,angel,832099.38937198067634,0,0,1,0,0,0,0,0,0,0,0
13832,c:70661,seed,1500000,6,0,0,0,0,0,0,0,0,1,0
19058,c:160670,angel,832099.38937198067634,1,0,1,0,0,0,0,0,0,0,0
3900,c:12131,angel,1600000,0,0,1,0,0,0,0,0,0,0,0
28820,c:266397,seed,25000,1,0,0,0,0,0,0,0,0,1,0
13814,c:51969,seed,20000,1,0,0,0,0,0,0,0,0,1,0
13804,c:70441,a,1000000,1,1,0,0,0,0,0,0,0,0,0
13800,c:70380,seed,20000,0,0,0,0,0,0,0,0,0,1,0
19075,c:160744,a,250309,1,1,0,0,0,0,0,0,0,0,0
13784,c:70229,seed,200000,0,0,0,0,0,0,0,0,0,1,0
19095,c:160957,seed,35000,0,0,0,0,0,0,0,0,0,1,0
19096,c:160943,seed,400000,0,0,0,0,0,0,0,0,0,1,0
