company_name,category_code,company_id,finance_people,employee,company_age,milestones,revisions,techcrunch,competitors,competitors_acquired,offices,products,providers,avg_funding_rounds_investors,avg_funding,founders,succ_founders,founders_exp,acquired,investors,acquisitions,acquisitions_cost,investments,funding_rounds
"Magis Networks",semiconductor,c:10228,0,1,224,1,0,0,695,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SeedShock,other,c:102286,0,1,72,1,0,0,13616,313,0,0,0,0,0,1,0,116,0,0,0,0,0,0
rmbrME,mobile,c:10229,0,2,128,1,0,0,6861,416,0,1,0,0,0,2,0,284,0,0,0,0,0,0
"Advanced Search Laboratories",search,c:102294,0,6,0,NULL,0,0,2181,70,2,0,0,0,325000,4,0,356,0,0,0,0,0,2
"Proxomo Software, Inc.",mobile,c:102295,0,11,89,2,0,0,6861,416,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"Accenture Technology Labs",NULL,c:102299,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBC,NULL,c:10230,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JP Morgan Securities LLC",security,c:102300,0,3,0,2,0,0,1170,127,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0
Molson,NULL,c:10231,0,NULL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Workware Systems",software,c:102311,0,NULL,96,NULL,0,0,17921,1466,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unilever,other,c:10232,0,59,1052,2,0,0,13616,312,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CTV,NULL,c:10233,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCM Holdings",consulting,c:10234,0,NULL,0,NULL,0,0,5005,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Still Water Development",enterprise,c:10236,0,NULL,0,NULL,0,0,4440,409,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vision Media",NULL,c:10237,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i-CD Publishing",NULL,c:10238,0,1,248,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IntroFly,web,c:102396,0,2,75,NULL,0,0,15117,971,1,0,0,2,75000,2,0,0,0,2,0,0,0,1
zSlide,web,c:1024,0,1,201,NULL,0,0,15117,971,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Exodus,NULL,c:10240,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onlinetherapy.com,software,c:102404,0,NULL,80,NULL,0,0,17921,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Velcro USA",NULL,c:102406,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bauer Hockey",NULL,c:102407,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moxie Soda",NULL,c:102408,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Hampshire Lottery",NULL,c:102409,0,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global Crossing",public_relations,c:10241,0,16,248,2,0,0,2845,214,2,0,0,1,41000000,1,1,0,1,1,1,27000000,0,1
gopogo,social,c:102413,0,2,94,NULL,0,0,1309,27,1,0,0,0,3000000,2,0,0,0,0,0,0,0,1
"VGo Communications",medical,c:102425,0,13,128,NULL,0,0,1152,16,1,0,0,0,2943305,3,0,NULL,0,0,0,0,0,3
"Future Delivery",web,c:10243,0,2,122,NULL,0,0,15117,971,1,3,0,0,0,2,0,0,0,0,0,0,0,0
911ice,web,c:10244,0,NULL,113,NULL,0,0,15117,971,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Platfora,software,c:102447,0,11,75,NULL,0,0,17921,1466,1,0,0,4,13600000,1,0,0,0,5,0,0,0,2
Infrascale,enterprise,c:102449,0,15,0,1,0,0,4440,409,4,0,0,1,1874982,1,0,0,0,1,0,0,0,2
"18D Information Technology China",games_video,c:10246,0,2,124,NULL,0,0,7519,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steelwedge Software",enterprise,c:102468,0,2,212,1,0,0,4440,409,1,0,0,1,16000000,0,0,0,0,1,0,0,0,1
"International Drug Mart",other,c:10247,0,1,176,NULL,0,0,13616,313,1,0,0,0,0,0,0,0,0,0,0,0,0,0
YuBiS,software,c:10248,0,NULL,236,NULL,0,0,17921,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Advanced Millennium Technologies",software,c:10249,0,2,186,NULL,0,0,17921,1466,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Oxtex,medical,c:102491,0,1,0,NULL,0,0,1152,16,1,0,0,1,518902,0,0,0,0,1,0,0,0,2
WorldOne,analytics,c:102497,0,12,212,1,0,0,1021,39,1,0,0,1,30000000,1,0,236,0,2,1,NULL,0,2
DAD,advertising,c:102498,0,NULL,0,NULL,0,0,6097,311,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"LIVECHAT Software",ecommerce,c:1025,0,3,188,3,0,0,9064,271,2,1,0,0,0,1,0,0,0,0,0,0,0,0
xombat,web,c:10250,0,NULL,0,NULL,0,0,15117,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InterKnowlogy,software,c:10251,0,4,224,1,0,0,17921,1466,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Mob.ly,mobile,c:10252,0,3,119,2,0,0,6861,415,1,1,0,8,1100000,2,2,NULL,1,8,0,0,0,1
iLoveDeals,web,c:102527,0,2,76,1,0,0,15117,971,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"iWeb Technologies",network_hosting,c:10253,2,4,251,NULL,0,0,2349,200,1,0,0,1,5586996,2,2,0,1,6,1,NULL,0,6
"Instituto Politécnico de Leiria",other,c:10255,0,NULL,452,NULL,0,0,13616,313,7,0,0,0,0,0,0,0,0,0,0,0,0,0
iCloudHosting,network_hosting,c:102554,0,NULL,170,NULL,0,0,2349,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TimeTrade Systems",enterprise,c:10256,1,16,212,3,0,0,4440,409,1,5,0,2,4107500,3,0,0,0,2,0,0,0,3
"Sensing System, Inc",NULL,c:102572,0,NULL,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mobile Video Services, Inc",NULL,c:102573,0,NULL,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Data Collection Ltd",NULL,c:102574,0,NULL,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Peak Performance Technologies, Inc",NULL,c:102575,0,1,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"House of Moves LLC",NULL,c:102576,0,NULL,0,NULL,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OMG plc",hardware,c:102577,1,7,404,1,0,0,2950,200,6,0,0,0,0,0,0,0,0,0,6,24600000,0,0
LocoGopher,web,c:1026,0,1,123,NULL,0,0,15117,971,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Huckabuck.com,NULL,c:10260,0,2,0,NULL,0,0,0,0,0,0,0,0,0,1,0,260,0,0,0,0,0,0
