acquired_object_id,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquired_time_since_founded
c:28900,0,0,0,0,0,0,1,0,0,0,[9470.]
c:12102,0,0,0,0,0,0,1,0,0,0,[9479.]
c:37684,0,0,0,0,0,0,1,0,0,0,[9480.]
c:145620,0,0,0,0,0,0,1,0,0,0,[9492.]
c:31100,0,0,0,0,0,0,1,0,0,0,[9498.]
c:41555,0,0,0,0,0,0,1,0,0,0,[9502.]
c:64859,0,0,0,0,0,0,1,0,0,0,[9502.]
c:39955,0,0,0,0,0,0,1,0,0,0,[9510.]
c:68760,0,0,0,0,0,0,1,1,0,0,[9541.]
c:64322,0,0,0,0,0,0,1,0,0,0,[9555.]
c:151471,0,0,0,0,0,0,1,0,0,0,[9561.]
c:39890,0,0,0,1,0,0,0,0,0,0,[9584.]
c:195603,0,0,0,0,0,0,1,0,0,0,[9595.]
c:26941,0,0,0,0,0,0,1,0,0,0,[9617.]
c:26943,0,0,0,0,0,0,1,0,0,0,[9618.]
c:15862,0,0,0,0,0,0,1,1,0,0,[9628.]
c:10049,0,0,0,0,0,0,1,0,0,0,[9652.]
c:26598,0,0,0,0,0,0,1,0,0,0,[9656.]
c:49771,0,0,0,0,0,0,1,0,0,0,[9661.]
c:80726,0,0,0,0,0,0,1,0,0,0,[9675.]
c:7890,0,0,0,0,0,0,1,0,0,0,[9684.]
c:10299,0,0,0,0,0,0,1,0,0,0,[9685.]
c:83881,0,0,0,0,0,0,1,0,0,0,[9708.]
c:45126,0,0,0,0,0,0,1,1,0,0,[9722.]
c:32495,0,0,0,0,0,0,1,0,0,0,[9734.]
c:30529,0,0,0,0,0,0,1,0,0,0,[9742.]
c:265625,0,0,0,0,0,0,1,0,0,0,[9757.]
c:29562,0,0,0,0,0,0,1,0,0,0,[9775.]
c:209591,0,0,0,0,0,0,1,0,0,0,[9793.]
c:31597,0,0,0,0,0,0,1,0,0,0,[9819.]
c:283813,0,0,0,0,0,0,1,0,0,0,[9833.]
c:595,0,0,0,0,0,0,1,1,0,0,[9850.]
c:76479,0,0,0,0,0,0,1,0,0,0,[9862.]
c:185,0,0,0,0,0,0,1,0,0,0,[9862.]
c:65881,0,0,0,0,0,0,1,0,0,0,[9872.]
c:39673,0,0,0,0,0,0,1,0,0,0,[9873.]
c:27161,0,0,0,0,0,0,1,0,0,0,[9878.]
c:40213,0,0,0,0,0,0,1,0,1,0,[9879.]
c:190771,0,0,0,0,0,0,1,0,0,0,[9890.]
c:188271,0,0,0,0,0,0,1,0,0,0,[9910.]
c:26081,0,0,0,0,0,0,1,0,0,0,[9923.]
c:479,0,0,0,0,0,0,1,1,0,0,[9940.]
c:26952,0,0,0,0,0,0,1,0,0,0,[9983.]
c:159896,0,0,0,0,0,0,1,0,0,0,[10010.]
c:160778,0,0,0,0,0,0,1,0,0,0,[10019.]
c:26538,0,0,0,0,0,0,1,0,0,0,[10048.]
c:83313,0,0,0,0,0,0,1,0,0,0,[10068.]
c:244981,0,0,0,0,0,0,1,0,0,0,[10078.]
c:28618,0,0,0,0,0,0,1,0,0,0,[10084.]
c:266920,0,0,0,0,0,0,1,0,0,0,[10127.]
c:32783,0,0,0,0,0,0,1,1,0,0,[10129.]
