acquiring_object_id,acquired_object_id,price_amount,AUD,CAD,EUR,GBP,JPY,SEK,USD,cash,cash_and_stock,stock,acquiring_time_since_founded
c:7872,c:268863,11,0,0,0,0,0,0,1,0,0,0,[5205.]
c:1611,c:28793,80000000,0,0,0,0,0,0,1,1,0,0,[5211.]
c:257251,c:257278,925000,0,1,0,0,0,0,0,0,1,0,[5218.]
c:26266,c:67264,525000000,0,0,0,0,0,0,1,1,0,0,[5233.]
c:24879,c:25670,90000000,0,0,0,0,0,0,1,0,0,0,[5233.]
c:874,c:54222,100000000,0,0,0,0,0,0,1,0,0,0,[5234.]
c:29631,c:51105,15470000,0,0,0,1,0,0,0,0,0,0,[5240.]
c:1972,c:140897,12000000,0,0,0,0,0,0,1,0,0,0,[5242.]
c:26627,c:26628,425000000,0,0,0,0,0,0,1,0,0,0,[5246.]
c:15299,c:21660,120000000,0,0,0,0,0,0,1,0,0,0,[5254.]
c:59,c:6838,125000000,0,0,0,0,0,0,1,1,0,0,[5266.]
c:24879,c:24877,251000000,0,0,0,0,0,0,1,0,0,1,[5266.]
c:62791,c:38688,47500000,0,0,0,0,0,0,1,1,0,0,[5268.]
c:1972,c:12178,2500000000,0,0,0,0,0,0,1,0,0,0,[5268.]
c:59413,c:58803,5500000,0,0,0,0,0,0,1,1,0,0,[5274.]
c:3524,c:50727,100000000,0,0,0,0,0,0,1,0,0,0,[5277.]
c:22008,c:28331,17500000,0,0,1,0,0,0,0,1,0,0,[5279.]
c:31522,c:2037,3500000,0,0,0,0,0,0,1,1,0,0,[5282.]
c:24869,c:149089,14400000,0,0,0,0,0,0,1,0,1,0,[5296.]
c:56633,c:236453,692000000,0,0,0,0,0,0,1,0,0,0,[5304.]
c:31710,c:31709,585890000,0,0,0,0,0,0,1,0,0,0,[5309.]
c:5990,c:39521,1260000000,0,0,0,0,0,0,1,0,0,0,[5317.]
c:1735,c:13168,72500000,0,0,0,0,0,0,1,0,0,0,[5325.]
c:351,c:11313,1100000000,0,0,0,0,0,0,1,0,0,1,[5325.]
c:601,c:39029,10000000,0,0,0,0,0,0,1,1,0,0,[5325.]
c:28772,c:28770,1960000,0,0,0,0,0,0,1,0,0,0,[5326.]
c:22312,c:593,560800000,0,0,0,0,0,0,1,0,0,0,[5327.]
c:26944,c:13854,20700000,0,0,0,0,0,0,1,0,0,0,[5327.]
c:3132,c:37215,18500000,0,0,0,0,0,0,1,0,0,0,[5329.]
c:838,c:69336,39100000,0,0,0,0,0,0,1,1,0,0,[5339.]
c:62791,c:27285,82000000,0,0,0,0,0,0,1,0,0,0,[5347.]
c:55091,c:51314,25300000,0,0,0,0,0,0,1,0,0,0,[5351.]
c:36871,c:95,50000000,0,0,0,0,0,0,1,0,0,0,[5368.]
c:264962,c:264964,50000000,0,0,1,0,0,0,0,0,0,0,[5372.]
c:265614,c:259682,115000000,0,0,0,0,0,0,1,0,0,0,[5374.]
c:265611,c:102849,96000000,0,0,0,0,0,0,1,0,0,0,[5374.]
c:266646,c:266640,15000000,0,0,0,0,0,0,1,0,0,0,[5379.]
c:16591,c:32783,60600000,0,0,0,0,0,0,1,1,0,0,[5381.]
c:59840,c:143700,73000000,0,0,0,0,0,0,1,0,0,0,[5381.]
c:8750,c:26490,152000000,0,0,0,0,0,0,1,1,0,0,[5382.]
c:838,c:37769,315000000,0,0,0,0,0,0,1,1,0,0,[5387.]
c:59,c:32475,1100000000,0,0,0,0,0,0,1,0,0,0,[5391.]
c:1735,c:12626,174000000,0,0,0,0,0,0,1,0,0,0,[5393.]
c:15299,c:149918,103000000,0,0,0,0,0,0,1,0,0,0,[5393.]
c:333,c:46943,800000000,0,0,0,0,0,0,1,1,0,0,[5413.]
c:29426,c:29427,22010000,0,0,0,0,0,0,1,0,0,0,[5414.]
c:8750,c:15598,95000000,0,0,0,0,0,0,1,1,0,0,[5417.]
c:1444,c:1409,20000000,0,0,0,0,0,0,1,0,0,0,[5417.]
c:14904,c:9306,21700000,0,0,0,0,0,0,1,1,0,0,[5422.]
c:1727,c:33640,160000000,0,0,0,0,0,0,1,1,0,0,[5425.]
c:249283,c:281532,90000000,0,0,0,0,0,0,1,0,0,0,[5439.]
c:601,c:226030,11000000,0,0,0,0,0,0,1,0,1,0,[5461.]
c:39451,c:44170,3750000,0,0,0,0,0,0,1,1,0,0,[5471.]
c:246335,c:257652,18000,0,0,0,0,0,0,1,1,0,0,[5479.]
c:246335,c:257651,19000,0,0,0,0,0,0,1,1,0,0,[5479.]
c:246335,c:257653,19800,0,0,0,0,0,0,1,1,0,0,[5481.]
c:66687,c:66684,48500000,0,0,0,0,0,0,1,1,0,0,[5497.]
c:2584,c:40271,8000000,0,0,0,0,0,0,1,1,0,0,[5498.]
c:7416,c:1789,3000000,0,0,0,0,0,0,1,0,0,0,[5502.]
c:59,c:153097,40000000,0,0,0,0,0,0,1,0,0,0,[5504.]
c:59,c:273639,23000000,0,0,0,0,0,0,1,0,0,0,[5522.]
c:283612,c:150432,25000000,1,0,0,0,0,0,0,0,0,0,[5538.]
c:1504,c:1194,9500000,0,0,0,0,0,0,1,1,0,0,[5553.]
c:20,c:22203,75000000,0,0,0,0,0,0,1,0,0,0,[5571.]
c:609,c:45364,1575000,0,0,0,0,0,0,1,0,0,0,[5575.]
c:20,c:8112,200000000,0,0,0,0,0,0,1,1,0,0,[5589.]
c:424,c:5700,370000000,0,0,0,0,0,0,1,1,0,0,[5602.]
c:26738,c:27163,22000000,0,0,0,0,0,0,1,0,0,0,[5611.]
c:3136,c:26506,180000000,0,0,0,0,0,0,1,0,0,0,[5618.]
c:30883,c:48632,121000000,0,0,0,0,0,0,1,0,0,0,[5626.]
c:1008,c:78020,2200000,0,0,0,0,0,0,1,0,0,0,[5634.]
